SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",Major Customers,,,,,,,,,,,,
WCN06400629,CN064,China,OUKA,P028,Woven,,,Chiffon,polyester,100,,,,,100,100,GSM,148,cm,12.8,1.97,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400630,CN064,China,OUKA,PX75-06,Woven,,,Chiffon,polyester,96,Spandex,4,,,100,80,GSM,148,cm,11,1.69,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400631,CN064,China,OUKA,P50-02,Woven,,,Satin,polyester,100,,,,,100,90,GSM,148,cm,11.5,1.77,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400632,CN064,China,OUKA,P128,Woven,,,Chiffon,polyester,100,,,,,100,124,GSM,148,cm,12.5,1.92,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400633,CN064,China,OUKA,P147,Woven,,,Jacquard ,polyester,100,,,,,100,76,GSM,151,cm,14,2.15,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400634,CN064,China,OUKA,G160,Woven,,,Crepe,VISCOSE,100,,,,,100,,GSM,143,CM,26,4.00,meter,Mill,,,,,,,"running greige,",,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400635,CN064,China,OUKA,C033,Woven,,,Gauze,Cotton,100,,,,,100,92,GSM,144,CM,13.5,2.08,meter,Mill,,,,,,,"running greige,",,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400636,CN064,China,OUKA,C40-08,Woven,,,Crepe,Cotton,100,,,,,100,,GSM,130,CM,14,2.15,meter,Mill,,,,,,,"running greige,",,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06500637,CN065,China,HUAYANG,HY-001,Woven,,,nylon check,nylon,86,spandex,14,,,100,160,gsm,145,cm,30,4.62,meter,Mill,,,,,,,stock fabric with color card,,,,,,,,,,,,,
WCN06600638,CN066,China,WENJI,A-14,Woven,,,twill,polyester,65,cotton,35,,,100,375,GSM,145,CM,15,2.31,meter,Mill,,,,,,,stock fabric,,,,,,,,,,,,,
WCN06600639,CN066,China,WENJI,A-2,Woven,,,twill,polyester,65,cotton,35,,,100,250,GSM,145,CM,15,2.31,meter,Mill,,,,,,,stock fabric,,,,,,,,,,,,,
WCN06600668,CN066,China,WENJI,WJ-0627,Woven,,,twill,cotton,100,,,,,100,265,gsm,150,cm,13,2.00,meter,Mill,,,,,,,stock,,,,,,,,,,,,,
WCN06900644,CN069,China,LONG XIANG,LX-T100,Woven,,,Denim,tencel,100,,,,,100,270,GSM,145,CM,42,6.46,meter,Mill,,,,,,,stock fabric,,,,100%tencel,,,,,,,,,
WCN06900645,CN069,China,LONG XIANG,LX-M50C50,Woven,,,Denim,jute,50,cotton,50,,,100,250,GSM,145,CM,28,4.31,meter,Mill,,,,,,,stock fabric  with digital color picture,,,,50%Jutecell50%cotton,,,,,,,,,
WCN06900646,CN069,China,LONG XIANG,LX-T50C50,Woven,,,Denim,tencel,50,cotton,50,,,100,200,GSM,145,CM,27,4.15,meter,Mill,,,,,,,stock fabric  with digital color picture,,,,50%tencel50%cotton,,,,,,,,,
WCN07000647,CN070,China,Zhanpeng,ZP001,Woven,,,Canvas,cotton,100,,,,,,,,150,CM,,2.00,meter,Mill,,,,,,,stock fabric  ,,,,,,,,,,,,,
WCN07000648,CN070,China,Zhanpeng,ZP002,Woven,,,Canvas,cotton,100,,,,,,,,150,CM,,2.46,meter,Mill,,,,,,,stock fabric  ,,,,,,,,,,,,,
WCN07000649,CN070,China,Zhanpeng,ZP003,Woven,,,Denim,polyester,65,cotton,35,,,,,,150,CM,,1.54,meter,Mill,,,,,,,,,,,,,,,,,,,,
WCN07000650,CN070,China,Zhanpeng,ZP004,Woven,,,Denim,polyester,65,cotton,35,,,,,,150,CM,,1.85,meter,Mill,,,,,,,,,,,,,,,,,,,,
WCN07000651,CN070,China,Zhanpeng,ZP005,Woven,,,Denim,polyester,65,cotton,35,,,,,,150,CM,,1.54,meter,Mill,,,,,,,,,,,,,,,,,,,,
WCN07100652,CN071,China,Dacheng,DC001,Woven,,,Denim,polyester,100,,,,,,118,,150,CM,,2.00,meter,Mill,,,,,,,,,,,,,,,,,,,,
WCN07100653,CN071,China,Dacheng,DC002,Woven,,,Denim,cotton,100,,,,,,200,,150,CM,,3.08,meter,Mill,,,,,,,,,,,,,,,,,,,,
WCN07100654,CN071,China,Dacheng,DC003,Woven,,,Denim,cotton,100,,,,,,162,,150,CM,,3.08,meter,Mill,,,,,,,,,,,,,,,,,,,,
WCN07100655,CN071,China,Dacheng,DC004,Woven,,,Denim,cotton,100,,,,,,180,,150,CM,,3.08,meter,Mill,,,,,,,,,,,,,,,,,,,,
WCN07100656,CN071,China,Dacheng,DC005,Woven,,,Denim,cotton,100,,,,,,110,,150,CM,,3.08,meter,Mill,,,,,,,,,,,,,,,,,,,,
WCN07200657,CN072,China,Maocheng,ML-246,Woven,,,,polyester,100,,,,,,180,,150,CM,,2.62,meter,Mill,,,,,,,,,,,,,,,,,,,,
WCN07300658,CN073,China,Youlong,20X16,Woven,,,Canvas,cotton,100,,,,,,,,145,CM,,2.08,meter,Mill,,,,,,,,,,,,,,,,,,,,
WCN07300669,CN073,China,Youlong,,Woven,,,Twill,polyester,100,,,,,100,195,gsm,150,cm,13.5,2.08,meter,Mill,,,,,,,stock,,,,,,,,,,,,,
WCN07400659,CN074,China,Maocheng,suede ,Woven,,,Suede,polyester,100,,,,,,, ,150,CM,14,2.15,meter,Mill,,,,,,,,,,,,,,,,,,,,
WCN07400660,CN074,China,Maocheng,suede ,Woven,,,Suede,polyester,100,,,,,,,,150,CM,14.5,2.23,meter,Mill,,,,,,,,,,,,,,,,,,,,
WCN07600661,CN076,China,yijianbuye,Double-stretch ,Woven,,,Plain Weave,polyester,97,spandex,3,,,,,,150,CM,18,2.77,meter,Mill,,,,,,,,,,,,,,,,,,,,
WCN07700663,CN077,China,Dacheng,CAOAN01,Woven,,,Twill,cotton,100,,,,,,140,,150,CM,16,2.46,meter,Mill,,,,,,,,,,,,,,,,,,,,
WCN07900670,CN079,China,Zhongsheng,128*60 cotton,Woven,,,Twill,cotton,100,,,,,100,240,gsm,150,cm,13,2.00,meter,Mill,,,,,,,stock,,,,,,,,,,,,,
WCN08100679,CN081,China,Dongli,160628002,Woven,,,Plain Weave,nylon,85,spandex,15,,,100,138,gsm,145,cm,21,3.23,METER,Mill,,,,,,,"1000m/color,",,surcharge 800RMB/color for less MCQ,,85%nylon15%spandex,for BW1044,For Sports Academy,,,,,,,
WCN08100680,CN081,China,Dongli,160628003,Woven,,,Plain Weave,nylon,85,spandex,15,,,100,138,gsm,145,cm,19.6,3.02,METER,Mill,,,,,,,"1000m/color,",,surcharge 800RMB/color for less MCQ,,85%nylon15%spandex,for BW1044,For Sports Academy,,,,,,,
WCN08100681,CN081,China,Dongli,160628001,Woven,,,Plain Weave,nylon,92,spandex,8,,,100,130,gsm,145,cm,19,2.92,METER,Mill,,,,,,,"1000m/color,",,surcharge 800RMB/color for less MCQ,,92%nylon8%spandex,for BW1044,For Sports Academy,,,,,,,
WCN08100682,CN081,China,Dongli,160628004,Woven,,,Plain Weave,nylon,92,spandex,8,,,100,125,gsm,145,cm,18,2.77,METER,Mill,,,,,,,"1000m/color,",,surcharge 800RMB/color for less MCQ,,92%nylon8%spandex,for BW1044,For Sports Academy,,,,,,,
WCN08100683,CN081,China,Dongli,160628005,Woven,,,Plain Weave,nylon,92,spandex,8,,,100,118,gsm,145,cm,24.5,3.69,METER,Mill,,,,,,,"1000m/color,",,surcharge 800RMB/color for less MCQ,,92%nylon8%spandex,for BW1044,For Sports Academy,,,,,,,
WCN08100684,CN081,China,Dongli,160628006,Woven,,,Plain Weave,nylon,95,spandex,5,,,100,109,gsm,145,cm,23.2,3.57,METER,Mill,,,,,,,"1000m/color,",,surcharge 800RMB/color for less MCQ,,95%nylon5%spandex,for BW1044,For Sports Academy,,,,,,,
WCN08100685,CN081,China,Dongli,160628007,Woven,,,Plain Weave,nylon,95,spandex,5,,,100,153,gsm,145,cm,21.2,3.26,METER,Mill,,,,,,,"1000m/color,",,surcharge 800RMB/color for less MCQ,,95%nylon5%spandex,for BW1044,For Sports Academy,,,,,,,
WCN02700703,CN027,China,CHENG YU,26#-6#,Woven,,,oxford,Cotton,100,,,,,,220,GSM,150,CM,17.5,2.69,meter,Mill,,,,,,,stock,,,,100%Cotton,,,,,,,,,
WCN02700704,CN027,China,ChengYu,28#-6#,Woven,,,oxford,Cotton,100,,,,,,220,GSM,150,CM,17.5,2.69,meter,Mill,,,,,,,stock,,,,100%Cotton,,,,,,,,,
WCN06400708,CN064,China,OUKA,T0722W,Woven,,,crepe,viscose,50,rayon,50,,,,138,GSM,130,cm,,8.00,meter,Mill,,,,,1.23,METER,1000m,,,,50%viscose50%rayon,,,,,,,,,
WCN06400709,CN064,China,OUKA,T0722G,Woven,,,crepe,rayon ,100,,,,,,85,GSM,130,cm,,6.00,meter,Mill,,,,,0.92,METER,1000m,,,,100%rayon,,,,,,,,,
WCN08800750,CN088,China,YIWAN,8015,Woven,,,Chiffon,polyester,100,,,,,100,110,gsm,150,cm,,1.08,meter,Stock,,,,,,,stock 2015,,,,100%polyester,,,,,,,,,
WCN08800751,CN088,China,YIWAN,8051,Woven,,,mess,polyester,100,,,,,100,120,gsm,150,cm,,1.35,meter,Stock,,,,,,,stock 2015,,,,100%polyester,,,,,,,,,
WCN08800752,CN088,China,YIWAN,8009,Woven,,,chiffon,polyester,100,,,,,100,85,gsm,150,cm,,0.72,meter,Stock,,,,,,,stock 2015,,,,100%polyester,,,,,,,,,
WCN08800753,CN088,China,YIWAN,8014,Woven,,,chiffon,polyester,100,,,,,100,85,gsm,150,cm,,1.15,meter,Stock,,,,,,,stock 2015,,,,100%polyester,,,,,,,,,
WCN08800754,CN088,China,YIWAN,8037,Woven,,,crepe,polyester,100,,,,,100,60,gsm,150,cm,,1.08,meter,Stock,,,,,,,stock 2015,,,,100%polyester,,,,,,,,,
WCN01300756,CN013,China,Xiaohu textile,G551-1049 #2,Woven,,,satin,polyester,100,,,,,100,,,150,cm,,1.54,meter,Stock,,,,,,,stock 2015,,,,100%polyester,,,,,,,,,
WCN01300757,CN013,China,Xiaohu textile,G551-1191 #4,Woven,,,satin,polyester,100,,,,,100,,,150,cm,,1.54,meter,Stock,,,,,,,stock 2015,,,,100%polyester,,,,,,,,,
WCN01300758,CN013,China,Xiaohu textile,G551 H1365 #1,Woven,,,georgette,polyester,100,,,,,100,,,150,cm,,1.85,meter,Stock,,,,,,,stock 2015,,,,100%polyester,,,,,,,,,
WCN01300759,CN013,China,Xiaohu textile,G551 H1211 #3,Woven,,,georgette,polyester,100,,,,,100,,,150,cm,,1.85,meter,Stock,,,,,,,stock 2015,,,,100%polyester,,,,,,,,,
WCN01300760,CN013,China,Xiaohu textile,G1014-21067 BLACK/WHITE STRIPE,Woven,,,georgette,polyester,100,,,,,100,,,150,cm,,1.85,meter,Stock,,,,,,,stock 2015,,,,100%polyester,,,,,,,,,
