SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",Major Customers,,,,,,,,,,,,
WCN00500234,CN005,China,wujiang BTFX textile,R1517,Woven,,,Plain Weave,rayon ,100,,,,,100,88,GSM,140,CM,19.37,2.98,meter,Mill,0,,,,"1000meter,surcharge for small lot dye",,sucharge 600RMB for small lot dye,,,100%rayon ,,,,,,,,,,
WCN00500236,CN005,China,wujiang BTFX textile,TR1522,Woven,,,Twill,polyester,79,rayon ,18,spandex,3,100,170,GSM,145,CM,21.71,3.34,meter,Mill,0,,,,"3000meter,surcharge for small lot dye",,sucharge 600RMB for small lot dye,,,79%polyester18%rayon 3%spandex,,,,,,,,,,
WCN00500237,CN005,China,wujiang BTFX textile,D1518,Woven,,,Plain Weave,polyester,96,spandex,4,,,100,210,GSM,145,CM,27.95,4.30,meter,Mill,0,,,,"3000meter,surcharge for small lot dye",,sucharge 600RMB for small lot dye,,,96%polyester4%spandex,,,,,,,,,,
WCN00500238,CN005,China,wujiang BTFX textile,TR1519,Woven,,,Twill,polyester,67,rayon ,33,,,100,195,GSM,145,CM,25.87,3.98,meter,Mill,0,,,,"3000meter,surcharge for small lot dye",,sucharge 600RMB for small lot dye,,,67%polyester33%rayon ,,,,,,,,,,
WCN00500239,CN005,China,wujiang BTFX textile,GS008,Woven,,,Plain Weave,polyester,100,,,,,100,86,GSM,148,CM,16.77,2.58,meter,Mill,0,,,,"2000meter,surcharge for small lot dye",,sucharge 600RMB for small lot dye,,,100%polyester,,,,,,,,,,
WCN00500240,CN005,China,wujiang BTFX textile,TC648,Woven,,,Plain Weave,cotton,52,polyester,48,,,100,100,GSM,148,CM,13.91,2.14,meter,Mill,0,,,,"1000meter,surcharge for small lot dye",,sucharge 600RMB for small lot dye,,,52%cotton48%polyester,,,,,,,,,,
WCN00500241,CN005,China,wujiang BTFX textile,GC600,Woven,,,Plain Weave,cotton,100,,,,,100,80,GSM,145,CM,20.54,3.16,meter,Mill,0,,,,"2000meter ,surcharge for small lot dye",,sucharge 600RMB for small lot dye,,,100%cotton,,,,,,,,,,
WCN00500242,CN005,China,wujiang BTFX textile,DJM1028,Woven,,,Plain Weave,rayon ,81,polyester,8,nylon,11,100,99,GSM,148,CM,18.2,2.80,meter,Mill,0,,,,"2000meter ,surcharge for small lot dye",,sucharge 600RMB for small lot dye,,,81.2%rayon 7.5%polyester11.3%nylon,,,,,,,,,,
WCN00500243,CN005,China,wujiang BTFX textile,TR1520,Woven,,,Twill,polyester,79,rayon ,19,spandex,2,100,290,GSM,145,CM,28.73,4.42,meter,Mill,0,,,,"3000meter,surcharge for small lot dye",,sucharge 600RMB for small lot dye,,,79%polyester19%rayon 2%spandex,,,,,,,,,,
WCN00500508,CN005,China,BTFX textile,D1129Y10558-3#,Woven,,,Twill,polyester,100,,,,,100,125,GSM,146,CM,,3.20,meter,Mill,0,,,,running greige.,,,,,,,,,,,,,,,
WCN00500692,CN005,China,BTFX textile,V100Y11165-A# B#,Woven,,,Plain Weave,polyester,60,viscose,40,,,100,103,gsm,142,cm,27,,kg,Mill,0,,,,4.154,METER,running greige for printing,,digital print,,60%polyester40%viscose,,,,,,,,,
WCN00500693,CN005,China,BTFX textile,V100Y11165-C# D#,Woven,,,Plain Weave,polyester,60,viscose,40,,,100,103,gsm,142,cm,27,,kg,Mill,0,,,,4.154,METER,running greige for printing,,digital print,,60%polyester40%viscose,,,,,,,,,
WCN00500694,CN005,China,BTFX textile,V100Y11168-A# B#,Woven,,,Plain Weave,polyester,60,viscose,40,,,100,103,gsm,142,cm,27,,kg,Mill,0,,,,4.154,METER,running greige for printing,,digital print,,60%polyester40%viscose,,,,,,,,,
WCN00500695,CN005,China,BTFX textile,V100Y11168-C# D#,Woven,,,Herringbone,polyester,60,viscose,40,,,100,103,gsm,142,cm,27,,kg,Mill,0,,,,4.154,METER,running greige for printing,,digital print,,60%polyester40%viscose,,,,,,,,,
WCN00500696,CN005,China,BTFX textile,V100Y11163-A#,Woven,,,Plain Weave,polyester,60,viscose,40,,,100,103,gsm,142,cm,27,,kg,Mill,0,,,,4.154,METER,running greige for printing,,digital print,,60%polyester40%viscose,,,,,,,,,
WCN00500697,CN005,China,BTFX textile,V100Y11163-B#,Woven,,,Plain Weave,polyester,60,viscose,40,,,100,103,gsm,142,cm,27,,kg,Mill,0,,,,4.154,METER,running greige for printing,,digital print,,60%polyester40%viscose,,,,,,,,,
WCN00500090,CN005,China,wujiang BTFX textile,DG300,Woven,,,Plain Weave,polyester,100,,,,,100,63,gsm,148,cm,,1.03,meter,Mill,0,,,,"running greige,1000m/color",,sucharge 600RMB for small lot dye,,,,,,,,,,,,,
WCN00500091,CN005,China,wujiang BTFX textile,T400L ,Woven,,,Twill,polyester,100,,,,,100,84,gsm,145,cm,,1.63,meter,Mill,0,,,,"running greige,1000m/color",,sucharge 600RMB for small lot dye,,,,,,,,,,,,,
WCN00500092,CN005,China,wujiang BTFX textile,T880,Woven,,,Twill,polyester,100,,,,,100,56,gsm,148,cm,,1.39,meter,Mill,0,,,,"running greige,1000m/color",,sucharge 600RMB for small lot dye,,,,,,,,,,,,,
WCN00500093,CN005,China,wujiang BTFX textile,T800,Woven,,,Twill,polyester,100,,,,,100,76,gsm,148,cm,,1.30,meter,Mill,0,,,,"running greige,1000m/color",,sucharge 600RMB for small lot dye,,,,,,,,,,,,,
WCN00500094,CN005,China,wujiang BTFX textile,DN1881,Woven,,,Twill,polyester,53,viscose,47,,,100,87,gsm,140,cm,,1.34,meter,Mill,0,,,,"running greige,1000m/color",,sucharge 600RMB for small lot dye,,,,,,,,,,,,,
WCN00500095,CN005,China,wujiang BTFX textile,FTR-WHITE,Woven,,,Herringbone,polyester,100,,,,,100,140,gsm,145,cm,,1.68,meter,Mill,0,,,,"running greige,1000m/color",,sucharge 600RMB for small lot dye,,,,,,,,,,,,,
WCN00500096,CN005,China,wujiang BTFX textile,FTR-GREY,Woven,,,Herringbone,polyester,100,,,,,100,140,gsm,145,cm,,1.68,meter,Mill,0,,,,"running greige,1000m/color",,sucharge 600RMB for small lot dye,,,,,,,,,,,,,
WCN00700395,CN007,China,Fuhua,CPD223001S,Woven,,,Dobby,polyester,100, ,,,,100,128,GSM,144,CM,15.5,2.38,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Poly,,,,,,Knit,gsm,meter,polyester,warp
WCN00700396,CN007,China,Fuhua,XPT122008S,Woven,,,other,polyester,87,Spandex,13,,,100,125,GSM,142,CM,16.3,2.51,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,87%Poly13%Spandex,,,,,,,,,,
WCN00700397,CN007,China,Fuhua,CND136001S,Woven,,,Dobby,Nylon,100,,,,,100,38,GSM,144,CM,13.5,2.08,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Nylon,,,,,,,,,,
WCN00700398,CN007,China,Fuhua,CDB970000S,Woven,,,Ripstop Synthetic,polyester,100,,,,,100,38,GSM,143,CM,16,2.46,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Poly,,,,,,,,,,
WCN00700399,CN007,China,Fuhua,CPW314001S,Woven,,,other,polyester,100,,,,,100,211,GSM,143,CM,18.1,2.78,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Poly,,,,,,Woven,kg,yard,nylon,circular
WCN00700401,CN007,China,Fuhua,CJB140002S,Woven,,,Ripstop Synthetic,Nylon,73,Poly,27,,,100,47,GSM,143,CM,14.2,2.18,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,73%Nylon27%Poly,,,,,,,,,,
