SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD）,Cost UOM,Used when Cost in RMB/kg or RMB/yd is know to convert to USD/Mtr,Unit,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",Major Customers,,,,,,,,,,,,,,,,,,,,,,,
KCN00200038,CN002,China,Zhongcheng Textile,ZWL-13-149,Knit,circular,,2X2 Rib Knit,Cotton,98,spandex,2,,,100,365,gsm,120,cm,26.46,4.07,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200039,CN002,China,Zhongcheng Textile,JDC-09-001,Knit,circular,,jersey,polyester,79,viscose,17,spandex,4,100,175,gsm,165,cm,15.03,2.31,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200040,CN002,China,Zhongcheng Textile,ZC-07-162B,Knit,circular,,jersey,cotton,95,spandex,5,,,100,200,gsm,175,cm,21.73,3.34,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200041,CN002,China,Zhongcheng Textile,ZC-13-007A,Knit,circular,,Brushed Jersey,Cotton,100,,,,,100,300,gsm,172,cm,28.86,4.44,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200042,CN002,China,Zhongcheng Textile,MJG-10-002-Q2,Knit,circular,,Mesh,polyester,100,,,,,100,175,gsm,165,cm,11.85,1.82,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200043,CN002,China,Zhongcheng Textile,XT-20,Knit,circular,,jersey,viscose,96,spandex,4,,,100,180,gsm,152,cm,14.25,2.19,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200044,CN002,China,Zhongcheng Textile,XT-137,Knit,circular,,jersey,viscose,96,spandex,4,,,100,180,gsm,152,cm,14.5,2.23,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200045,CN002,China,Zhongcheng Textile,ZC-13-75A,Knit,circular,,jersey,polyester,69,rayon ,29,spandex,2,100,215,gsm,152,cm,19.48,3.00,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200046,CN002,China,Zhongcheng Textile,MJQ-08,Knit,circular,,jersey,cotton,48,modal,47,spandex,5,100,200,gsm,156,cm,18.9,2.91,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200047,CN002,China,Zhongcheng Textile,QM-11-06,Knit,circular,,Brushed Jersey,cotton,60,polyester,40,,,100,260,gsm,154,cm,19.6,3.02,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
