SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD）,Cost UOM,Used when Cost in RMB/kg or RMB/yd is know to convert to USD/Mtr,Unit,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",Major Customers,,,,,,,,,,,,,,,,,,,,,,,
KCN01000131,CN010,China,FengQing Textile,3015,Knit,circular,,Fleece,cotton,45,polyester,50,spandex,5,100,380,GSM,165,CM,31,4.77,kg,2.99,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000132,CN010,China,FengQing Textile,2083,Knit,circular,,Fleece,Cotton,65,polyester,30,spandex,5,100,340,GSM,175,CM,34.5,5.31,kg,3.16,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000133,CN010,China,FengQing Textile,1527,Knit,circular,,Jersey,Polyester,95,spandex,5,,,100,180,GSM,175,CM,27,4.15,kg,1.31,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000134,CN010,China,FengQing Textile,2059,Knit,circular,,French Terry,Polyester,90,spandex,10,,,100,190,GSM,175,CM,47,7.23,kg,2.40,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000135,CN010,China,FengQing Textile,2343,Knit,circular,,interlock,cotton,100,,,,,100,240,GSM,180,CM,38.5,5.92,kg,2.56,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000136,CN010,China,FengQing Textile,2081,Knit,circular,,Rib knit,cotton,95,spandex,5,,,100,180,GSM,145,CM,42.5,6.54,kg,1.71,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000137,CN010,China,FengQing Textile,2341,Knit,circular,,Fleece,cotton,50,polyester,50,,,100,290,GSM,185,CM,27,4.15,kg,2.23,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000138,CN010,China,FengQing Textile,3028,Knit,circular,,brushed jersey,polyester,95,spandex,5,,,100,180,GSM,170,CM,25,3.85,kg,1.18,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000139,CN010,China,FengQing Textile,3232,Knit,circular,,Jersey,cotton,95,spandex,5,,,100,210,GSM,185,CM,44.5,6.85,kg,2.66,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000140,CN010,China,FengQing Textile,3040,Knit,circular,,jersey,rayon ,95,spandex,5,,,100,170,GSM,172,CM,35.5,5.46,kg,1.60,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000141,CN010,China,FengQing Textile,2335,Knit,circular,,Fleece,cotton,65,polyester,30,spandex,5,100,260,GSM,175,CM,35.5,5.46,kg,2.48,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000142,CN010,China,FengQing Textile,2045,Knit,circular,,Ponte,rayon ,60,nylon,35,spandex,5,100,310,GSM,160,CM,38,5.85,kg,2.90,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000143,CN010,China,FengQing Textile,2051,Knit,circular,,Ponte,rayon ,60,nylon,35,spandex,5,100,260,GSM,160,CM,43,6.62,kg,2.75,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000144,CN010,China,FengQing Textile,2043,Knit,circular,,Ponte,rayon ,60,nylon,35,spandex,5,100,420,GSM,160,CM,35,6.62,kg,4.45,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000145,CN010,China,FengQing Textile,5037,Knit,circular,,Striped Jersey,cotton,100,,,,,100,160,GSM,180,CM,45,6.62,kg,1.91,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000146,CN010,China,FengQing Textile,5141,Knit,circular,,Striped Jersey,cotton,95,spandex,5,,,100,180,GSM,175,CM,41,6.31,kg,1.99,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000147,CN010,China,FengQing Textile,6233,Knit,circular,,Striped Jersey,cotton,95,spandex,5,,,100,170,GSM,170,CM,50.5,7.77,kg,2.25,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000148,CN010,China,FengQing Textile,38,Knit,circular,,Rib knit,cotton,95,spandex,5,,,100,200,GSM,125,CM,50,7.69,kg,1.92,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000149,CN010,China,FengQing Textile,2039,Knit,circular,,Jersey,polyester,95,spandex,5,,,100,215,GSM,175,CM,24,3.69,kg,1.39,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000150,CN010,China,FengQing Textile,2053,Knit,circular,,Jersey,polyester,95,spandex,5,,,100,200,GSM,165,CM,32,4.92,kg,1.62,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000151,CN010,China,FengQing Textile,2057,Knit,circular,,brushed jersey,polyester,92,spandex,8,,,100,170,GSM,175,CM,31,4.77,kg,1.42,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000152,CN010,China,FengQing Textile,2058,Knit,circular,,Fleece,polyester,92,spandex,8,,,100,190,GSM,175,CM,33,5.08,kg,1.69,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000153,CN010,China,FengQing Textile,2060,Knit,circular,,Striped Jersey,polyester,90,spandex,10,,,100,180,GSM,170,CM,52,8.00,kg,2.45,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000154,CN010,China,FengQing Textile,2085,Knit,circular,,1X1 Rib Knit,cotton,95,spandex,5,,,100,210,GSM,180,CM,46,7.08,kg,2.68,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000155,CN010,China,FengQing Textile,2180,Knit,circular,,1X1 Rib Knit,cotton,95,spandex,5,,,100,270,GSM,175,CM,48,7.38,kg,3.49,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000156,CN010,China,FengQing Textile,2336,Knit,circular,,Fleece,cotton,95,spandex,5,,,100,260,GSM,185,CM,40.5,6.23,kg,3.00,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000157,CN010,China,FengQing Textile,3031,Knit,circular,,jersey,polyester,55,cotton,45,,,100,170,GSM,185,CM,28,4.31,kg,1.36,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000158,CN010,China,FengQing Textile,3035,Knit,circular,,jersey,cotton,55,polyester,40,spandex,5,100,190,GSM,185,CM,30,4.62,kg,1.62,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000159,CN010,China,FengQing Textile,3037,Knit,circular,,jersey,Cotton,100,,,,,100,180,GSM,185,CM,33,5.08,kg,1.69,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000160,CN010,China,FengQing Textile,3038,Knit,circular,,jersey,Cotton,100,,,,,100,170,GSM,185,CM,35.5,5.46,kg,1.72,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000161,CN010,China,FengQing Textile,3039,Knit,circular,,jersey,Cotton,100,,,,,100,130,GSM,185,CM,34.5,5.31,kg,1.28,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000162,CN010,China,FengQing Textile,1525,Knit,circular,,jersey,polyester,95,spandex,5,,,100,170,GSM,168,CM,22,3.38,kg,0.97,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000163,CN010,China,FengQing Textile,3045,Knit,circular,,brushed jersey,Cotton,95,spandex,5,,,100,190,GSM,170,CM,40,6.15,kg,1.99,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000164,CN010,China,FengQing Textile,3047,Knit,circular,,slub jersey,Cotton,100,,,,,100,170,GSM,185,CM,39,6.00,kg,1.89,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000165,CN010,China,FengQing Textile,3126,Knit,circular,,jersey,polyester,92,spandex,8,,,100,140,GSM,165,CM,23.5,3.62,kg,0.84,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000166,CN010,China,FengQing Textile,3248,Knit,circular,,jersey,cotton,100,,,,,100,155,GSM,175,CM,59.5,9.15,kg,2.48,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000167,CN010,China,FengQing Textile,3246,Knit,circular,,jersey,cotton,100,,,,,100,170,GSM,175,CM,45.5,7.00,kg,2.08,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000270,CN010,China,FengQing Textile,5936#,Knit,circular,,Striped Jersey,rayon ,95,spandex,5,,,100,170,gsm,170,CM,40,6.15,kg,1.78,meter,Stock,0,,0,,"stock fabric, have color cards",No,"price based on 25KG, price vary with different color",,,,,,,,,,,,,,,,,,,,,,,,
KCN01000271,CN010,China,FengQing Textile,5937#,Knit,circular,,Striped Jersey,rayon ,95,spandex,5,,,100,170,gsm,170,CM,40,6.15,kg,1.78,meter,Stock,0,,0,,"stock fabric, have color cards",No,"price based on 25KG, price vary with different color",,,,,,,,,,,,,,,,,,,,,,,,
KCN01000272,CN010,China,FengQing Textile,5938#,Knit,circular,,Striped Jersey,rayon ,95,spandex,5,,,100,170,gsm,170,CM,40,6.15,kg,1.78,meter,Stock,0,,0,,"stock fabric, have color cards",No,"price based on 25KG, price vary with different color",,,,,,,,,,,,,,,,,,,,,,,,
KCN01000273,CN010,China,FengQing Textile,5939#,Knit,circular,,Striped Jersey,rayon ,95,spandex,5,,,100,170,gsm,170,CM,40,6.15,kg,1.78,meter,Stock,0,,0,,"stock fabric, have color cards",No,"price based on 25KG, price vary with different color",,,,,,,,,,,,,,,,,,,,,,,,
KCN01000274,CN010,China,FengQing Textile,5941#,Knit,circular,,Striped Jersey,rayon ,95,spandex,5,,,100,170,gsm,170,CM,40,6.15,kg,1.78,meter,Stock,0,,0,,"stock fabric, have color cards",No,"price based on 25KG, price vary with different color",,,,,,,,,,,,,,,,,,,,,,,,
KCN01000275,CN010,China,FengQing Textile,5942#,Knit,circular,,Striped Jersey,rayon ,95,spandex,5,,,100,170,gsm,170,CM,40,6.15,kg,1.78,meter,Stock,0,,0,,"stock fabric, have color cards",No,"price based on 25KG, price vary with different color",,,,,,,,,,,,,,,,,,,,,,,,
KCN01000276,CN010,China,FengQing Textile,5949#,Knit,circular,,Striped Jersey,rayon ,95,spandex,5,,,100,170,gsm,170,CM,40,6.15,kg,1.78,meter,Stock,0,,0,,"stock fabric, have color cards",No,"price based on 25KG, price vary with different color",,,,,,,,,,,,,,,,,,,,,,,,
KCN01000481,CN010,China,FengQing Textile,"5321-1,11#",Knit,circular,,French Terry,polyester,95,spandex,5,,,100,230,GSM,175,CM,42.5,6.54,kg,2.63,meter,Mill,,kg,80,kg,"running greige, have color card, MOQ 80kg/color",yes,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000747,CN010,China,FengQing Textile,2042A#,Knit,warp,,Ponte,rayon ,60,nylon,35,spandex,5,100,480,gsm,160,CM,35,5.38,kg,4.14,METER,Stock,0,,0,,stock with color book,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01200214,CN012,China,Netting fabric,tulle-01,Knit,warp,,Netting,polyester,100,,,,,100,36,GSM,150,CM,15,2.31,meter,,,Stock,0,,0,,"stock,2016/1/11",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01200215,CN012,China,Netting fabric,tulle-02,Knit,warp,,Netting,polyester,100,,,,,100,37,GSM,150,CM,15,2.31,meter,,,Stock,0,,0,,"stock,2016/1/11",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01200216,CN012,China,Netting fabric,tulle-03,Knit,warp,,Netting,polyester,100,,,,,100,40,GSM,150,CM,20,3.08,meter,,,Stock,0,,0,,"stock,2016/1/11",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01200217,CN012,China,Netting fabric,tulle-04,Knit,warp,,Netting,polyester,100,,,,,100,40,GSM,150,CM,20,3.08,meter,,,Stock,0,,0,,"stock,2016/1/11",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01200218,CN012,China,Netting fabric,tulle-05,Knit,warp,,Netting,nylon,60,spandex,40,,,100,65,GSM,150,CM,18,2.77,meter,,,Stock,0,,0,,"stock,2016/1/11",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01200219,CN012,China,Netting fabric,tulle-06,Knit,warp,,Tulle netting,nylon,60,spandex,40,,,100,70,GSM,150,CM,20,3.08,meter,,,Stock,0,,0,,"stock,2016/1/11",No, have color swatch in SHO,,,,,,,,,,,,,,,,,,,,,,,,
KCN01200220,CN012,China,Netting fabric,tulle-07,Knit,warp,,Tulle netting,nylon,60,spandex,40,,,100,70,GSM,150,CM,18,2.77,meter,,,Stock,0,,0,,"stock,2016/1/11",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01200221,CN012,China,Netting fabric,tulle-08,Knit,warp,,Tulle netting,nylon,100,,,,,100,134,GSM,140,CM,25,3.85,meter,,,Stock,0,,0,,"out of stock, MOQ 3000meters",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01200223,CN012,China,Netting fabric,tulle-10,Knit,warp,,Tulle netting,polyester,100,,,,,100,26,GSM,150,CM,16,2.46,meter,,,Stock,0,,0,,"stock,2016/1/11",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01200224,CN012,China,Netting fabric,tulle-11,Knit,warp,,Tulle netting,polyester,100,,,,,100,30,GSM,150,CM,12,1.85,meter,,,Stock,0,,0,,"stock,2016/1/11",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01200225,CN012,China,Netting fabric,tulle-12,Knit,warp,,Tulle netting,polyester,100,,,,,100,60,GSM,150,CM,16,2.46,meter,,,Stock,0,,0,,"stock,2016/1/11",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01200226,CN012,China,Netting fabric,tulle-13,Knit,warp,,Tulle netting,polyester,100,,,,,100,32,GSM,150,CM,12,1.85,meter,,,Stock,0,,0,,"stock,2016/1/11",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01200227,CN012,China,Netting fabric,tulle-14,Knit,warp,,Tulle netting,nylon,60,spandex,40,,,100,170,GSM,135,CM,25,3.85,meter,,,Stock,0,,0,,"stock,2016/1/11",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01200533,CN012,China,Netting fabric,3085#,Knit,warp,,Tulle netting,polyester,100,,,,,100,,,150,CM,20,3.08,meter,,,Stock,0,,0,,"stock fabric 2016/4/25, have color cards",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01300196,CN013,China,Xiaohu textile,G961,Knit,circular,,Print Jersey,polyester,100,,,,,100,95,GSM,170,CM,18,2.77,meter,,,Stock,0,,0,,"stock fabric, 2016/1/2",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01300513,CN013,China,Xiaohu textile,XH-0415,Knit,circular,,Jersey,polyester,90,spandex,10,,,100,188,gsm,150,CM,18,2.77,meter,,,Stock,0,,0,,"stock fabric,",No,,90%polyester10%spandex,,,,,,,,,,,,,,,,,,,,,,,
KCN01300609,CN013,China,Xiaohu textile,XH-0505-2#,Knit,circular,,Jersey,polyester,97,Spandex,3,,,100,160,GSM,150,CM,16,2.46,meter,,,Stock,0,,0,,"stock fabric, have color cards",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01300755,CN013,China,Xiaohu textile,G691-HR00003,Knit,circular,,Mesh,polyester,100,,,,,100,,,150,cm,,2.31,meter,,,Stock,0,,0,,stock 2015,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN02800285,CN028,China,Thinksport,SEKK01,Knit,circular,,Brushed Jersey,polyester,90,spandex,10,,,100,190,GSM,160,CM,50,7.69,kg,2.34,meter,Mill,,kg,50,kg,"running greige,MOQ 50kg/color, ",yes,,Katie K,,,,,,,,,,,,,,,,,,,,,,,
KCN02800286,CN028,China,Thinksport,SEKK02,Knit,circular,,Brushed Jersey,polyester,88,spandex,12,,,100,300,GSM,160,CM,50,7.69,kg,3.69,meter,Mill,,kg,50,kg,"running greige,MOQ 50kg/color, ",yes,,Katie K,,,,,,,,,,,,,,,,,,,,,,,
KCN02800288,CN028,China,Thinksport,SEKK04,Knit,circular,,Brushed Jersey,polyester,92,spandex,8,,,100,200,GSM,160,cm,50,7.69,kg,2.46,meter,Mill,,kg,50,kg,"running greige,MOQ 50kg/color, ",yes,,Katie K,,,,,,,,,,,,,,,,,,,,,,,
KCN04000391,CN040,China,Cheng Da,"32S,2X2 RIB, T/C heather",Knit,circular,,2X2 Rib Knit,polyester,65,cotton,35,,,100,450,GSM,120,CM,42,6.46,kg,3.49,meter,Stock,0,,0,,"running stock, pls refer to color card",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04000392,CN040,China,Cheng Da,"32S,2X2 RIB, C white",Knit,circular,,2X2 Rib Knit,Cotton,100,,,,,100,350,GSM,120,CM,60,9.23,kg,3.88,meter,Stock,0,,0,,"running stock, pls refer to color card",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04000393,CN040,China,Cheng Da,"32S, 1X1 RIB, C yellow",Knit,circular,,1X1 Rib Knit,Cotton,100,,,,,100,255,GSM,120,CM,60,9.23,kg,2.82,meter,Stock,0,,0,,"running stock, pls refer to color card",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04000394,CN040,China,Cheng Da,"21S, 2x2RIB, C navy",Knit,circular,,2X2 Rib Knit,Cotton,100,,,,,100,395,GSM,120,CM,50,7.69,kg,3.65,meter,Stock,0,,0,,"running stock, pls refer to color card",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04100463,CN041,China,Hengli,32S COTTON,Knit,circular,,Jersey,Cotton,90,Spandex,10,,,100,230,GSM,170,cm,49,7.54,kg,2.95,meter,Stock,0,,0,,"stock fabric 2016/3, have color card",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04100696,CN041,China,Hengli,E8901,Knit,circular,,Ponte,rayon,95,spandex,5,,,100,380,gsm,160,cm,19,2.92,meter,,,Mill,,kg,0,kg,running greige with color card,yes,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04200464,CN042,China,Dongcheng,10342,Knit,circular,,Jersey,rayon ,95,spandex,5,,,100,240,gsm,170,cm,34,5.23,kg,2.13,meter,Stock,0,,0,,"stock fabric 2016/3, have color card",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04200691,CN042,China,Dongcheng,10228#,Knit,circular,,Jersey,rayon,95,spandex,5,,,100,180,gsm,173,cm,36,5.54,kg,1.15,METER,Stock,0,,0,,stock fabric with color cards,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04300464,CN043,China,RICH,1078#,Knit,circular,,slub jersey,rayon ,100,,,,,100,120,gsm,165,CM,35.5,5.46,kg,1.08,meter,Stock,0,,0,,"stock fabric 2016/3, have color cards",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04400474,CN044,China,YUYANG,YY0315,Knit,circular,,2X2 Rib Knit,rayon ,95,spandex,5,,,100,230,GSM,125,CM,40,6.15,kg,1.77,meter,Stock,0,,0,,"stock fabric 2016/3, have multicolors",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04400478,CN044,China,YUYANG,YY129-3,Knit,circular,,Fleece,cotton,65,polyester,35,,,100,315,GSM,185,CM,38,5.85,kg,3.41,meter,Stock,0,,0,,"stock fabric, have color cards",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04400479,CN044,China,YUYANG,8006,Knit,circular,,French Terry,cotton,80,polyester,20,,,100,315,GSM,185,CM,40,6.15,kg,3.59,meter,Stock,0,,0,,"stock fabric, have color cards",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04400559,CN044,China,YUYANG,YY-0429,Knit,circular,,French Terry,Cotton,100,,,,,100,300,GSM,185,CM,47,7.23,kg,4.01,meter,Stock,0,,0,,stock fabric,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04400647,CN044,China,YUYANG,YY-129-1,Knit,warp,,Tricot knit,polyester,100,,,,,100,230,GSM,160,CM,27,4.15,kg,1.53,METER,Stock,0,,0,,stock fabric with color card,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04400648,CN044,China,YUYANG,YY-06-07,Knit,circular,,French Terry,cotton,95,spandex,5,,,100,230,GSM,180,CM,52,8.00,kg,3.31,METER,Stock,0,,0,,stock fabric,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04400649,CN044,China,YUYANG,YY-06-08,Knit,circular,,Brushed Jersey,Cotton,95,Spandex,5,,,100,245,gsm,180,CM,50,7.69,kg,3.39,METER,Stock,0,,0,,stock fabric,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04400664,CN044,China,YUYANG,Rayon LuoMa fabric,Knit,circular,,Ponte,rayon ,90,nylon,10,,,100,380,gsm,160,cm,44,6.77,kg,3.52,METER,Stock,0,,0,,stock fabric 2015/06/20,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04400716,CN044,China,YUYANG,YY-0725,Knit,circular,,Interlock,Cotton,100,,,,,100,200,GSM,180,cm,46,7.08,kg,2.55,METER,Stock,0,,0,,"stock fabric, has color card in drive",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04500477,CN045,China,XinXiang,SHO-0315,Knit,circular,,jersey,Nylon,93,spandex,7,,,100,190,GSM,150,CM,59,9.08,kg,2.59,meter,Stock,0,,0,,"stock fabric 2016/3, have multicolors",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04600480,CN046,China,ZHENGDA,70210,Knit,warp,,Mess,Nylon,88,spandex,12,,,100,185,GSM,155,CM,65,10.00,kg,2.87,meter,Mill,350,kg,100,kg,"running greige for black color,  100KG/color",yes,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04700490,CN047,China,Baliso,BLS22043,Knit,circular,,Jersey,modal,92,spandex,8,,,100,280,GSM,170,CM,85,13.08,kg,6.23,meter,Mill,350,kg,100,kg,100kg/color 350kg/order,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04700491,CN047,China,Baliso,BLS22015,Knit,circular,,Jersey,modal,50,cotton,50,,,100,140,GSM,170,CM,75,11.54,kg,2.75,meter,Mill,350,kg,100,kg,100kg/color 350kg/order,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04700492,CN047,China,Baliso,BLS22062,Knit,circular,,Jersey,modal,95,spandex,5,,,100,160,GSM,170,CM,75,13.08,kg,3.56,meter,Mill,350,kg,100,kg,100kg/color 350kg/order,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04700493,CN047,China,Baliso,BLS22276,Knit,circular,,Jersey,micromodal,93,spandex,7,,,100,185,GSM,150,CM,98,15.08,kg,4.18,meter,Mill,350,kg,100,kg,100kg/color 350kg/order,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04700494,CN047,China,Baliso,BLS22253-1,Knit,circular,,Jersey,cotton,90,spandex,10,,,100,160,GSM,160,CM,118,18.15,kg,4.65,meter,Mill,350,kg,100,kg,100kg/color 350kg/order,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04700495,CN047,China,Baliso,BSL23439,Knit,circular,,Jersey,micromodal,90,spandex,10,,,100,160,GSM,160,CM,138,18.15,kg,4.65,meter,Mill,350,kg,100,kg,100kg/color 350kg/order,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04700496,CN047,China,Baliso,BLS23228,Knit,circular,,Jersey,micromodal,93,spandex,7,,,100,150,GSM,160,CM,115,18.15,kg,4.36,meter,Mill,350,kg,100,kg,100kg/color 350kg/order,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04700610,CN047,China,Baliso,BLS24012-2,Knit,circular,,Jersey,cotton,85,Spandex,15,,,100,280,GSM,157,CM,88,13.54,kg,5.95,meter,Mill,0,kg,150,kg,150kg/color,No,surcharge 500RMB/color if less than MCQ,,,,,,,,,,,,,,,,,,,,,,,,
KCN04700676,CN047,China,Baliso,BLS23799,Knit,circular,,Jersey,micromodal,63,cotton,27,spandex,10,100,155,gsm,150,cm,142,21.85,kg,4.85,yard,Mill,0,kg,200,kg,200kg/color,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04700677,CN047,China,Baliso,BLS22152,Knit,circular,,Jersey,cotton,48,Modal,47,spandex,5,100,180,gsm,155,cm,75,11.54,kg,3.04,yard,Mill,0,kg,200,kg,200kg/color,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04800509,CN047,China,Baliso,BLS24234,Knit,circular,,Jersey,VISCOSE,62,polyester,34,spandex,4,100,215,GSM,170,CM,68,10.46,kg,3.82,meter,Mill,1000,kg,500,kg,"500KG/color, 1000kg/order.",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04800674,CN048,China,Hong do,15HDYPJ2325,Knit,warp,,mesh,polyester,90,spandex,10,,,100,160,gsm,160,cm,,,,1.7,yard,Mill,0,kg,20,kg,20kg/color,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04800675,CN048,China,Hong do,15HDYPJ1985,Knit,warp,,mesh,polyester,85,spandex,15,,,100,180,gsm,150,cm,,,,202,yard,Mill,0,kg,20,kg,20kg/color,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04800726,CN048,China,Hong do,15HDYPJ2725,Knit,circular,,Fleece,polyester,100,,,,,100,220,GSM,150,CM,,,,6.5,METER,Mill,0,kg,150,kg,"150kg/color for PFP dying,no MOQ for print",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN04800727,CN048,China,Hong do,15HDYPJ1322,Knit,circular,,Fleece,polyester,92,spandex,8,,,100,220,GSM,150,CM,,,,3.2,METER,Mill,0,kg,150,kg,"150kg/color for PFP dying,no MOQ for print",No,,,,,,,,,,,,,,,,,,,,,,,,,
