SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",,,,,,,,,,,
WIN02300375,IN036,India,A TO Z,Dyed Crepe,Woven,,,Crepe,polyester,100,,,,,100,70,gsm,"44""",inches,70,1.08,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,70 gsm Dyed Crepe ,,,,,,,,,,,
WIN02300376,IN036,India,A TO Z,Double cloth 1533,Woven,,,Double weave,cotton,100,,,,,100,110,gsm,"58",inches,125,1.92,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 104  x 96,,,,,,,,,,,
WIN02300377,IN036,India,A TO Z,Laces,Woven,,,Lace,cotton,100,,,,,100,,gsm,"42""",inches,85,1.31,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,,,,,,,,,,,,
WIN02400528,IN024,India,SIVA SANKARI TEX,Y/D Crepe,Woven,,,Crepe,cotton,100,,,,,100,,gsm,"40""",inches,80,1.23,meter,Stock ,0,,0,,against order,No,20 HT x 20HT / 48 x 36,,,,,,,,,,,
WIN03200525,IN032,India,ARTEX TRENDS,18994,Woven,,,Corduroy,cotton,100,,,,,100,,gsm,"58",inches,215.00,3.31,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,,,,,,,,,,,,
WIN03200526,IN032,India,ARTEX TRENDS,,Woven,,,Oxford,cotton,100,,,,,100,,gsm,"58",inches,165.00,2.54,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,,,,,,,,,,,,
WIN03200289,IN032,India,ARTEX TRENDS,18960 ( 1- 14 ),Woven,,,Chambray,cotton,100,,,,,100,110,gsm,"58",inches,155,2.38,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No, Giza Cotton Oxford Chambray 40x40/132x82,,,,,,,,,,,
WIN03200290,IN032,India,ARTEX TRENDS,18969 ( 1-14),Woven,,,Chambray,cotton,100,,,,,100,80,gsm,"58",inches,175,2.69,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No, Giza premium Blend Oxford Chambray 60s x 60s / 132 x 100,,,,,,,,,,,
WIN03200291,IN032,India,ARTEX TRENDS,40087  -( 1-19),Woven,,,Fil-A-Fil,cotton,100,,,,,100,120,gsm,"58",inches,145,2.23,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,,,,,,,,,,,,
WIN03200292,IN032,India,ARTEX TRENDS,80034-(1-10) = 40140 (1-18),Woven,,,Fil-A-Fil,cotton,100,,,,,100,140,gsm,"58",inches,155,2.38,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40s x 40s / 132 x 84 Corbon Peach,,,,,,,,,,,
